"CÓDIGO
DO FUNDO",SETOR,PREÇO ATUAL,LIQUIDEZ DIÁRIA,DIVIDENDO,"DIVIDEND
YIELD","DY (3M)
ACUMULADO","DY (6M)
ACUMULADO","DY (12M)
ACUMULADO","DY (3M)
MÉDIA","DY (6M)
MÉDIA","DY (12M)
MÉDIA",DY ANO,VARIAÇÃO PREÇO,"RENTAB.
PERÍODO","RENTAB.
ACUMULADA","PATRIMÔNIO
LÍQ.",VPA,P/VPA,"DY
PATRIMONIAL","VARIAÇÃO
PATRIMONIAL","RENTAB. PATR.
NO PERÍODO","RENTAB. PATR.
ACUMULADA","VACÂNCIA
FÍSICA","VACÂNCIA
FINANCEIRA","QUANTIDADE
ATIVOS"
HSRE11,Híbrido,"R$ 101,00", 3.0 ,"R$ 0,63","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,00","0,01","0,05","R$ 818.368.632,20","R$ 96,07","1,05","0,66%","0,02%","0,68%","3,65%","0,00",N/A,29
RBRF11,Títulos e Val. Mob.,"R$ 76,70", 54014.0 ,"R$ 0,60","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,07","0,08","0,12","R$ 1.189.063.056,32","R$ 86,91","0,88","0,69%","3,45%","4,16%","3,70%",N/A,N/A,0
ONEF11,Lajes Corporativas,"R$ 170,29", 109.0 ,"R$ 0,92","0,01","0,02","0,03","0,07","0,01","0,01","0,01","0,05","0,05","0,06","0,32","R$ 159.308.027,83","R$ 174,87","0,97","0,53%","0,02%","0,55%","3,72%","0,00",N/A,1
RNGO11,Lajes Corporativas,"R$ 53,19", 2510.0 ,"R$ 0,43","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,06","0,20","0,21","0,15","R$ 234.637.920,50","R$ 87,68","0,61","0,49%","-0,01%","0,48%","3,84%","0,24",N/A,3
SARE11,Híbrido,"R$ 78,10", 10483.0 ,"R$ 0,65","0,01","0,03","0,05","0,11","0,01","0,01","0,01","0,07","0,14","0,15","0,19","R$ 904.179.109,81","R$ 97,91","0,8","0,66%","-0,22%","0,44%","3,93%","0,06",N/A,3
HPDP11,Shoppings,"R$ 80,00", 65.0 ,"R$ 0,45","0,01","0,02","0,03","0,06","0,01","0,01","0,01","0,04","0,07","0,08","0,10","R$ 276.092.639,54","R$ 94,92","0,84","0,47%","0,00%","0,48%","4,01%","0,02",N/A,1
FATN11,Híbrido,"R$ 98,45", 270.0 ,"R$ 0,86","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,02","0,02","0,04","R$ 108.547.019,26","R$ 101,13","0,97","0,85%","0,08%","0,93%","4,04%","0,04",N/A,7
NVHO11,Hospital,"R$ 10,02", 523.0 ,"R$ 0,08","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,04","-0,01","0,00","0,05","R$ 528.270.590,57","R$ 12,73","0,79","0,61%","0,04%","0,65%","4,14%",N/A,N/A,1
STRX11,Híbrido,N/A, N/A ,"R$ 0,71","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 227.183.788,69","R$ 140,80",N/A,"0,50%","0,10%","0,60%","4,18%",N/A,N/A,0
BRCO11,Logística,"R$ 110,20", 24314.0 ,"R$ 0,70","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,10","0,11","0,18","R$ 1.758.903.908,43","R$ 119,02","0,93","0,59%","0,01%","0,60%","4,21%","0,00","0,00",10
HGPO11,Lajes Corporativas,"R$ 260,87", 1918.0 ,"R$ 1,60","0,01","0,02","0,03","0,07","0,01","0,01","0,01","0,04","0,04","0,05","0,06","R$ 469.905.295,95","R$ 268,05","0,97","0,60%","-0,05%","0,55%","4,24%","0,05","0,03",2
BBFI11B,Lajes Corporativas,"R$ 1.942,00", 227.0 ,"R$ 26,31","0,01","0,04","0,08","0,16","0,01","0,01","0,01","0,11","0,13","0,14","-0,02","R$ 375.131.778,13","R$ 2.885,63","0,67","0,91%","1,18%","2,10%","4,25%","0,39",N/A,2
BREV11,Híbrido,"R$ 106,15", 30.0 ,"R$ 0,61","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,14","0,14","0,17","R$ 106.245.435,86","R$ 109,85","0,97","0,56%","-0,03%","0,52%","4,25%","0,00",N/A,12
ITIP11,Títulos e Val. Mob.,"R$ 82,97", 427.0 ,"R$ 0,94","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,10","0,01","0,03","0,11","R$ 63.335.350,67","R$ 84,66","0,98","1,11%","-1,26%","-0,16%","4,29%",N/A,N/A,0
FLMA11,Híbrido,"R$ 124,31", 1474.0 ,"R$ 0,89","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,15","0,16","0,21","R$ 216.972.198,60","R$ 157,15","0,79","0,57%","0,08%","0,65%","4,49%","0,11",N/A,2
FEXC11,Títulos e Val. Mob.,"R$ 87,83", 8110.0 ,"R$ 0,90","0,01","0,04","0,07","0,13","0,01","0,01","0,01","0,09","0,02","0,03","0,10","R$ 556.840.767,87","R$ 91,23","0,96","0,99%","-1,88%","-0,91%","4,57%",N/A,N/A,0
EURO11,Logística,"R$ 231,43", 16.0 ,"R$ 1,75","0,01","0,02","0,05","0,10","0,01","0,01","0,01","0,06","0,25","0,26","0,35","R$ 119.914.740,35","R$ 312,33","0,74","0,56%","-0,05%","0,51%","4,63%","0,00",N/A,6
SPVJ11,Outros,N/A, N/A ,"R$ 0,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 676.518.053,59","R$ 107,18",N/A,"0,63%","-0,09%","0,54%","4,63%",N/A,N/A,0
VGIR11,Títulos e Val. Mob.,"R$ 9,92", 208923.0 ,"R$ 0,13","0,01","0,04","0,07","0,13","0,01","0,01","0,01","0,10","-0,90","-0,90","-0,89","R$ 730.770.532,68","R$ 96,53","0,1","0,13%","0,11%","0,24%","4,68%",N/A,N/A,0
BTSG11,Híbrido,"R$ 100,00", 248.0 ,"R$ 0,87","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 104.071.243,95","R$ 134,28","0,74","0,65%","0,71%","1,36%","4,71%",N/A,N/A,0
VCRR11,Residencial,"R$ 81,29", 1592.0 ,"R$ 0,67","0,01","0,03","0,05","0,11","0,01","0,01","0,01","0,07","0,16","0,17","0,12","R$ 239.916.924,37","R$ 119,96","0,68","0,56%","0,12%","0,68%","4,84%",N/A,N/A,0
PATL11,Híbrido,"R$ 83,85", 12791.0 ,"R$ 0,58","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,08","0,08","0,11","R$ 489.389.528,88","R$ 98,04","0,86","0,59%","0,27%","0,87%","4,91%","0,00","0,00",4
LGCP11,Logística,"R$ 84,63", 7581.0 ,"R$ 0,62","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,11","0,11","0,10","R$ 279.131.782,37","R$ 102,14","0,83","0,61%","0,02%","0,63%","4,94%","0,01",N/A,5
VILG11,Logística,"R$ 110,45", 22941.0 ,"R$ 0,72","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,15","0,16","0,11","R$ 1.708.055.899,87","R$ 113,89","0,97","0,63%","0,46%","1,09%","5,04%","0,00",N/A,16
ABCP11,Shoppings,"R$ 75,51", 1438.0 ,"R$ 0,55","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,13","0,14","0,09","R$ 1.119.952.411,71","R$ 91,77","0,82","0,60%","0,02%","0,62%","5,14%","0,08",N/A,1
RBRP11,Outros,"R$ 60,70", 24196.0 ,"R$ 0,45","0,01","0,02","0,05","0,08","0,01","0,01","0,01","0,06","0,11","0,12","-0,09","R$ 1.024.403.847,85","R$ 84,11","0,72","0,54%","2,35%","2,90%","5,33%","0,13","0,06",17
JFLL11,Residencial,"R$ 73,08", 896.0 ,"R$ 0,62","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,17","0,18","0,06","R$ 150.619.312,71","R$ 100,37","0,73","0,62%","0,04%","0,65%","5,34%","0,28",N/A,2
VGIA11,Títulos e Val. Mob.,"R$ 10,02", 446874.0 ,"R$ 0,17","0,02","0,05","0,09","0,00","0,02","0,02","0,00","0,12","-0,02","0,00","0,08","R$ 337.648.972,94","R$ 9,56","1,05","1,78%","0,51%","2,30%","5,41%",N/A,N/A,0
CXCI11,,"R$ 83,00", 284.0 ,"R$ 0,83","0,01","0,03","0,00","0,00","0,01","0,00","0,00","0,05","0,11","0,12","0,01","R$ 204.640.178,72","R$ 99,45","0,83","0,83%","3,75%","4,61%","5,42%",N/A,N/A,0
SEQR11,Outros,"R$ 66,50", 2811.0 ,"R$ 0,67","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,02","0,03","-0,01","R$ 154.465.555,44","R$ 96,03","0,69","0,69%","-0,13%","0,56%","5,42%","0,00",N/A,0
RBRL11,Logística,"R$ 94,64", 1948.0 ,"R$ 0,65","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,06","0,09","0,10","0,10","R$ 716.523.182,74","R$ 107,15","0,88","0,61%","-0,92%","-0,32%","5,44%","0,00","0,00",6
HBRH11,Híbrido,"R$ 95,00", 691.0 ,"R$ 0,66","0,01","0,02","0,05","0,11","0,01","0,01","0,01","0,07","0,06","0,07","0,05","R$ 313.328.669,87","R$ 113,03","0,84","0,58%","0,04%","0,62%","5,49%",N/A,N/A,3
GTWR11,Lajes Corporativas,"R$ 81,90", 12586.0 ,"R$ 0,74","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,17","0,18","0,06","R$ 1.175.680.243,29","R$ 97,97","0,84","0,76%","0,02%","0,78%","5,60%","0,00","0,00",1
BTWR11,Lajes Corporativas,"R$ 105,49", 280.0 ,"R$ 0,38","0,00","0,01","0,02","0,02","0,00","0,00","0,00","0,02","0,00","0,00","0,01","R$ 90.257.312,30","R$ 111,53","0,95","0,34%","0,11%","0,45%","5,63%","0,12",N/A,1
BIME11,,"R$ 9,24", 19357.0 ,"R$ 0,13","0,01","0,05","0,09","0,00","0,02","0,02","0,00","0,11","0,01","0,02","0,09","R$ 53.496.731,84","R$ 9,15","1,01","1,42%","-0,62%","0,79%","5,71%",N/A,N/A,0
IBCR11,Títulos e Val. Mob.,"R$ 89,95", 1162.0 ,"R$ 1,25","0,01","0,04","0,08","0,00","0,01","0,01","0,00","0,11","0,01","0,03","0,06","R$ 90.997.699,52","R$ 94,95","0,95","1,32%","-2,33%","-1,05%","5,72%",N/A,N/A,0
AIEC11,Lajes Corporativas,"R$ 79,56", 5479.0 ,"R$ 0,73","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,09","0,10","0,10","R$ 489.178.047,14","R$ 101,38","0,78","0,72%","0,04%","0,76%","5,83%","0,00",N/A,2
KNRI11,Híbrido,"R$ 152,25", 23393.0 ,"R$ 0,91","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,13","0,14","0,22","R$ 3.862.303.758,54","R$ 159,88","0,95","0,57%","0,06%","0,63%","5,88%","0,02","0,07",20
SNCI11,Títulos e Val. Mob.,"R$ 100,40", 9808.0 ,"R$ 1,25","0,01","0,04","0,08","0,00","0,01","0,01","0,00","0,09","-0,02","-0,01","0,07","R$ 252.128.060,08","R$ 100,85",1,"1,29%","1,92%","3,24%","5,89%",N/A,N/A,0
RFOF11,Títulos e Val. Mob.,"R$ 78,42", 1686.0 ,"R$ 0,70","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,07","0,08","0,09","0,11","R$ 93.377.303,24","R$ 86,61","0,91","0,81%","6,51%","7,38%","5,92%",N/A,N/A,0
SPTW11,Lajes Corporativas,"R$ 44,38", 3243.0 ,"R$ 0,40","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,07","0,04","0,05","0,03","R$ 95.341.828,10","R$ 53,03","0,84","0,75%","0,07%","0,83%","5,97%","0,00",N/A,1
HGRU11,Híbrido,"R$ 127,90", 21105.0 ,"R$ 0,82","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,07","0,08","0,18","R$ 2.188.422.001,09","R$ 118,89","1,08","0,69%","0,55%","1,24%","6,03%","0,00","0,00",17
LUGG11,Residencial,"R$ 78,60", 443.0 ,"R$ 0,52","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","-0,02","-0,01","-0,05","R$ 115.089.203,18","R$ 127,88","0,61","0,41%","0,03%","0,43%","6,06%","0,02",N/A,4
EDFO11B,Lajes Corporativas,"R$ 197,76", 44.0 ,"R$ 1,68","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,06","0,09","0,10","0,02","R$ 45.762.672,04","R$ 193,91","1,02","0,87%","0,13%","1,00%","6,09%","0,07",N/A,1
VTLT11,Logística,"R$ 95,26", 649.0 ,"R$ 0,83","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,08","0,09","0,12","R$ 217.497.878,73","R$ 102,84","0,93","0,81%","0,04%","0,85%","6,17%","0,00","0,00",1
YUFI11B,Residencial,N/A, N/A ,"R$ 0,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 41.701.052,98","R$ 105,53",N/A,"0,60%","-0,01%","0,59%","6,32%",N/A,N/A,0
RBED11,Outros,"R$ 132,90", 784.0 ,"R$ 1,23","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,19","0,20","0,24","R$ 285.019.772,84","R$ 140,99","0,94","0,87%","0,05%","0,93%","6,33%","0,00",N/A,5
VOTS11,Títulos e Val. Mob.,"R$ 87,40", 92.0 ,"R$ 1,01","0,01","0,04","0,08","0,14","0,01","0,01","0,01","0,10","-0,01","0,00","0,17","R$ 78.221.067,57","R$ 94,48","0,93","1,07%","-0,06%","1,01%","6,35%",N/A,N/A,0
CXCO11,Lajes Corporativas,"R$ 79,20", 1755.0 ,"R$ 0,72","0,01","0,03","0,06","0,10","0,01","0,01","0,01","0,07","0,07","0,08","0,05","R$ 378.865.717,01","R$ 96,54","0,82","0,74%","0,05%","0,79%","6,37%",N/A,N/A,0
PLOG11,Logística,"R$ 79,74", 130.0 ,"R$ 0,75","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,19","0,20","0,15","R$ 75.302.819,52","R$ 100,40","0,79","0,75%","0,08%","0,83%","6,37%","0,20",N/A,1
PORD11,Títulos e Val. Mob.,"R$ 97,00", 5249.0 ,"R$ 1,15","0,01","0,04","0,09","0,16","0,02","0,01","0,01","0,11","-0,01","0,00","0,15","R$ 365.338.854,63","R$ 97,99","0,99","1,17%","-0,19%","0,98%","6,46%",N/A,N/A,0
KISU11,Títulos e Val. Mob.,"R$ 8,39", 106609.0 ,"R$ 0,07","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,07","0,05","0,06","0,10","R$ 415.418.376,95","R$ 9,40","0,89","0,74%","6,55%","7,34%","6,51%",N/A,N/A,0
BBRC11,Outros,"R$ 102,00", 935.0 ,"R$ 0,99","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,07","0,08","0,13","R$ 169.912.826,11","R$ 106,86","0,95","0,93%","-0,03%","0,90%","6,56%","0,05","0,01",20
CYCR11,Títulos e Val. Mob.,"R$ 89,95", 2340.0 ,"R$ 1,00","0,01","0,03","0,07","0,00","0,01","0,01","0,00","0,09","-0,01","0,00","0,01","R$ 156.128.638,42","R$ 95,73","0,94","1,04%","0,00%","1,04%","6,57%",N/A,N/A,0
PQAG11,Logística,"R$ 56,56", 10.0 ,"R$ 0,42","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,00","0,01","0,07","R$ 801.775.734,17","R$ 57,30","0,99","0,73%","0,00%","0,73%","6,66%","0,00",N/A,1
BBGO11,Títulos e Val. Mob.,"R$ 86,30", 4036.0 ,"R$ 0,75","0,01","0,03","0,05","0,00","0,01","0,01","0,00","0,05","0,02","0,03","0,05","R$ 394.157.372,88","R$ 98,41","0,88","0,76%","0,28%","1,04%","6,66%",N/A,N/A,0
NVIF11B,Outros,N/A, N/A ,"R$ 0,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 90.848.881,43","R$ 269,26",N/A,"0,17%","2,78%","2,95%","6,69%",N/A,N/A,0
KINP11,Residencial,"R$ 13,82", 14353.0 ,"R$ 0,21","0,01","0,06","0,13","0,00","0,02","0,02","0,00","0,13","0,12","0,13","0,16","R$ 40.044.213,40","R$ 5,60","2,47","3,75%","-6,55%","-3,05%","6,70%",N/A,N/A,0
PLCR11,Híbrido,"R$ 86,26", 6648.0 ,"R$ 1,19","0,01","0,04","0,08","0,15","0,01","0,01","0,01","0,10","0,06","0,07","0,09","R$ 194.176.239,76","R$ 92,06","0,94","1,29%","-0,88%","0,41%","6,72%",N/A,N/A,0
RZTR11,Híbrido,"R$ 105,00", 33110.0 ,"R$ 1,25","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,10","0,03","0,04","0,11","R$ 1.080.357.527,58","R$ 97,79","1,07","1,28%","-0,68%","0,59%","6,75%",N/A,N/A,10
HGBS11,Shoppings,"R$ 210,93", 8491.0 ,"R$ 1,30","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,18","0,19","0,36","R$ 2.195.124.932,97","R$ 219,51","0,96","0,59%","1,48%","2,08%","6,80%","0,07",N/A,17
CPFF11,Híbrido,"R$ 76,74", 9620.0 ,"R$ 0,62","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,07","0,07","0,11","R$ 439.277.544,57","R$ 80,60","0,95","0,77%","4,81%","5,62%","6,81%",N/A,N/A,0
RVBI11,Títulos e Val. Mob.,"R$ 81,04", 3935.0 ,"R$ 0,75","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,06","0,07","0,08","R$ 126.116.556,30","R$ 87,58","0,93","0,86%","1,90%","2,77%","6,93%",N/A,N/A,0
BCRI11,Títulos e Val. Mob.,"R$ 104,29", 8611.0 ,"R$ 1,29","0,01","0,04","0,08","0,14","0,01","0,01","0,01","0,10","-0,02","-0,01","0,04","R$ 654.717.061,65","R$ 104,62",1,"1,23%","-1,45%","-0,24%","7,01%",N/A,N/A,0
HGLG11,Logística,"R$ 172,02", 26867.0 ,"R$ 1,10","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,02","0,03","0,08","R$ 3.460.194.083,95","R$ 147,51","1,17","0,75%","0,86%","1,61%","7,05%","0,07","0,07",17
BICR11,Títulos e Val. Mob.,"R$ 90,00", 80.0 ,"R$ 0,82","0,01","0,02","0,05","0,08","0,01","0,01","0,01","0,06","-0,02","-0,01","0,13","R$ 50.361.097,03","R$ 100,72","0,89","0,81%","0,27%","1,09%","7,24%",N/A,N/A,0
BPFF11,Títulos e Val. Mob.,"R$ 69,90", 6105.0 ,"R$ 0,70","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,07","0,08","0,12","R$ 355.995.596,04","R$ 79,25","0,88","0,88%","4,38%","5,30%","7,35%",N/A,N/A,0
HSAF11,Títulos e Val. Mob.,"R$ 83,95", 9934.0 ,"R$ 1,00","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,10","-0,07","-0,06","0,01","R$ 235.607.185,56","R$ 93,26","0,9","1,07%","-1,05%","0,01%","7,36%",N/A,N/A,0
FLCR11,Títulos e Val. Mob.,"R$ 96,76", 655.0 ,"R$ 1,00","0,01","0,04","0,09","0,17","0,01","0,01","0,01","0,11","-0,01","0,00","0,10","R$ 63.104.997,93","R$ 99,60","0,97","1,00%","-0,27%","0,73%","7,37%",N/A,N/A,0
VGIP11,Outros,"R$ 89,99", 25918.0 ,"R$ 1,00","0,01","0,04","0,08","0,16","0,01","0,01","0,01","0,11","-0,02","-0,01","0,00","R$ 1.078.889.243,95","R$ 91,53","0,98","1,09%","0,20%","1,29%","7,43%",N/A,N/A,0
BARI11,Títulos e Val. Mob.,"R$ 97,66", 6213.0 ,"R$ 1,05","0,01","0,04","0,08","0,15","0,01","0,01","0,01","0,10","-0,01","0,00","0,04","R$ 471.938.000,88","R$ 101,84","0,96","1,03%","-0,29%","0,74%","7,44%",N/A,N/A,0
SADI11,Títulos e Val. Mob.,"R$ 90,75", 1959.0 ,"R$ 1,08","0,01","0,03","0,07","0,11","0,01","0,01","0,01","0,09","0,00","0,01","0,10","R$ 318.870.013,98","R$ 100,27","0,91","1,08%","-0,86%","0,20%","7,66%",N/A,N/A,0
RBVA11,Outros,"R$ 97,74", 8516.0 ,"R$ 1,02","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,10","0,11","0,09","R$ 1.194.419.044,14","R$ 103,07","0,95","0,99%","-0,02%","0,97%","7,72%","0,01",N/A,72
JPPA11,Títulos e Val. Mob.,"R$ 106,40", 4914.0 ,"R$ 1,65","0,02","0,05","0,10","0,18","0,02","0,02","0,02","0,13","0,04","0,06","0,24","R$ 60.286.691,26","R$ 99,82","1,07","1,65%","-1,05%","0,58%","7,74%",N/A,N/A,0
SDIL11,Logística,"R$ 97,56", 6752.0 ,"R$ 0,76","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,11","0,12","0,21","R$ 632.055.298,98","R$ 98,84","0,99","0,77%","-0,26%","0,50%","7,78%","0,03",N/A,5
BLMR11,Títulos e Val. Mob.,"R$ 7,79", 50112.0 ,"R$ 0,08","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,08","0,09","0,05","R$ 216.801.524,28","R$ 8,49","0,92","0,88%","6,98%","7,92%","7,80%",N/A,N/A,0
VRTA11,Títulos e Val. Mob.,"R$ 95,68", 24762.0 ,"R$ 1,10","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,09","-0,02","-0,01","-0,02","R$ 1.235.222.851,71","R$ 93,91","1,02","1,17%","-0,12%","1,05%","7,85%",N/A,N/A,0
KNSC11,Títulos e Val. Mob.,"R$ 86,39", 31272.0 ,"R$ 0,70","0,01","0,03","0,07","0,15","0,01","0,01","0,01","0,09","-0,07","-0,06","-0,06","R$ 1.178.257.357,98","R$ 88,75","0,97","0,79%","0,54%","1,33%","7,98%",N/A,N/A,0
BBFO11,Títulos e Val. Mob.,"R$ 77,44", 4671.0 ,"R$ 0,76","0,01","0,03","0,07","0,12","0,01","0,01","0,01","0,09","0,10","0,11","0,17","R$ 349.116.913,80","R$ 87,19","0,89","0,87%","4,63%","5,54%","8,43%",N/A,N/A,0
HREC11,Títulos e Val. Mob.,"R$ 94,50", 23.0 ,"R$ 0,80","0,01","0,03","0,07","0,12","0,01","0,01","0,01","0,09","0,00","0,01","0,11","R$ 424.464.609,39","R$ 91,15","1,04","0,88%","0,58%","1,46%","8,49%",N/A,N/A,0
KNCR11,Títulos e Val. Mob.,"R$ 101,15", 97139.0 ,"R$ 1,30","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,01","0,02","0,12","R$ 4.736.822.756,95","R$ 101,17",1,"1,28%","-0,23%","1,05%","8,62%",N/A,N/A,0
RBHG11,Títulos e Val. Mob.,"R$ 88,50", 1988.0 ,"R$ 1,23","0,01","0,05","0,09","0,16","0,02","0,01","0,01","0,11","0,02","0,03","0,11","R$ 163.844.351,80","R$ 94,84","0,93","1,30%","-0,64%","0,65%","8,64%",N/A,N/A,0
BNFS11,Outros,"R$ 121,13", 484.0 ,"R$ 1,48","0,01","0,04","0,07","0,13","0,01","0,01","0,01","0,09","0,03","0,04","0,04","R$ 69.456.969,88","R$ 99,22","1,22","1,50%","0,00%","1,50%","8,67%","0,00",N/A,18
HFOF11,Títulos e Val. Mob.,"R$ 80,10", 14609.0 ,"R$ 0,62","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,07","0,11","0,12","0,04","R$ 1.999.474.919,62","R$ 86,93","0,92","0,71%","5,78%","6,53%","8,70%",N/A,N/A,0
QIRI11,Títulos e Val. Mob.,"R$ 78,04", 39.0 ,"R$ 0,66","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,07","0,08","-0,08","R$ 13.496.955,35","R$ 89,98","0,87","0,73%","6,29%","7,07%","8,72%",N/A,N/A,0
XPLG11,Logística,"R$ 109,20", 35250.0 ,"R$ 0,72","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,12","0,12","0,16","R$ 3.086.874.864,39","R$ 113,90","0,96","0,63%","0,18%","0,81%","8,77%","0,09","0,01",13
KNIP11,Títulos e Val. Mob.,"R$ 92,33", 132667.0 ,"R$ 0,58","0,01","0,03","0,08","0,16","0,01","0,01","0,01","0,10","-0,03","-0,03","0,00","R$ 7.710.169.930,51","R$ 95,68","0,96","0,61%","0,93%","1,54%","8,86%",N/A,N/A,0
HGFF11,Títulos e Val. Mob.,"R$ 81,04", 5412.0 ,"R$ 0,65","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,12","0,13","0,13","R$ 265.289.507,45","R$ 92,64","0,87","0,70%","6,26%","7,01%","9,18%",N/A,N/A,0
KNHY11,Títulos e Val. Mob.,"R$ 98,50", 50910.0 ,"R$ 0,76","0,01","0,03","0,08","0,15","0,01","0,01","0,01","0,10","0,00","0,01","0,01","R$ 1.795.923.627,38","R$ 97,13","1,01","0,78%","0,59%","1,38%","9,20%",N/A,N/A,0
QAMI11,Híbrido,"R$ 87,42", 249.0 ,"R$ 1,00","0,01","0,04","0,08","0,16","0,01","0,01","0,01","0,10","0,00","0,01","-0,02","R$ 73.835.103,76","R$ 92,13","0,95","1,09%","-0,88%","0,19%","9,23%",N/A,N/A,0
MBRF11,Outros,"R$ 670,20", 176.0 ,"R$ 10,00","0,01","0,05","0,09","0,17","0,02","0,02","0,01","0,13","0,15","0,16","-0,03","R$ 115.690.142,53","R$ 1.137,97","0,59","0,88%","1,64%","2,54%","9,26%","0,00",N/A,2
JGPX11,Híbrido,"R$ 97,99", 1515.0 ,"R$ 1,20","0,01","0,03","0,07","0,00","0,01","0,01","0,00","0,09","0,00","0,01","0,11","R$ 81.324.970,36","R$ 95,89","1,02","1,25%","0,31%","1,57%","9,51%",N/A,N/A,0
HGCR11,Títulos e Val. Mob.,"R$ 105,90", 40817.0 ,"R$ 1,20","0,01","0,03","0,07","0,12","0,01","0,01","0,01","0,09","0,01","0,02","0,07","R$ 1.495.774.340,90","R$ 101,98","1,04","1,18%","0,26%","1,44%","9,59%",N/A,N/A,0
KNCA11,Títulos e Val. Mob.,"R$ 108,35", 12900.0 ,"R$ 1,46","0,01","0,04","0,07","0,00","0,01","0,01","0,00","0,08","0,00","0,02","0,05","R$ 827.120.197,40","R$ 102,11","1,06","1,43%","1,18%","2,62%","9,64%",N/A,N/A,0
RRCI11,Títulos e Val. Mob.,"R$ 85,89", 825.0 ,"R$ 1,20","0,01","0,04","0,09","0,16","0,01","0,01","0,01","0,11","0,00","0,02","0,11","R$ 46.448.655,40","R$ 96,42","0,89","1,24%","0,00%","1,25%","9,68%",N/A,N/A,0
